"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Get/active_sessions/ Получение списка активных сессий пользователя","","","0","2","0","0","0"
"Patch/api/v1/subcategory/ - Редактирование подкатегории по id - Проверка поля is_archived","","","0","8","0","0","0"
"Patch/api/v1/settings/my/ Настройки пользователя - Проверка поля excluded_categories","","","0","8","0","0","0"
"Get/api/v1/analytics/payments_analytics - аналитика исполненных и пропущенных регулярных платежей - общие проверки","","","0","9","0","0","0"
"Patch/api/v1/settings/my/ Настройки пользователя - Проверка поля business_accounting","","","0","7","0","0","0"
"Patch/api/v1/wallet/{wallet_id}/ Редактирование wallet","","","0","4","0","0","0"
"Get/api/v1/analytics/payments_analytics - аналитика исполненных и пропущенных регулярных платежей - проверка поля month_from","","","0","10","0","0","0"
"Get/api/v1/category/ Получение списка категорий - проверка поля excluded","","","0","7","0","0","0"
"Get/api/v1/category/{category_id}/ Получение списка категорий по id","","","0","8","0","0","0"
"Get/api/v1/category/ Получение списка категорий - проверка поля transaction_type","","","0","7","0","0","0"
"Post_change_password Проверка поля old_password","","","0","4","0","0","0"
"GET/api/v1/personal_budget/ Получение списка всех транзакций - проверка поля month","","","0","3","0","0","0"
"GET /api/v1/moneybox/ Получение списка всех копилок","","","0","4","0","0","0"
"Post/ remote_logout/device_id Отзыв refresh_token по device_id","","","0","6","0","0","0"
"Patch/api/v1/settings/my/ Настройки пользователя - Проверка поля email_notifications","","","0","7","0","0","0"
"Patch/api/v1/settings/my/ Настройки пользователя - Проверка поля default_currency_id","","","0","8","0","0","0"
"Patch/users/me Проверка поля email","","","0","28","0","0","0"
"GET/api/v1/personal_budget/ Получение списка всех транзакций - проверка поля day","","","0","11","0","0","0"
"Patch/api/v1/subcategory/ - Редактирование подкатегории по id","","","0","2","0","0","0"
"Get/api/v1/wallet/  Получение информации о wallet по id","","","0","10","0","0","0"
"Get/api/v1/subcategory/ - Проверка поля category_id","","","0","6","0","0","0"
"Delete /api/v1/personal_transaction/{personal_transaction_id}/ Редактирование транзакций, общие проверки","","","0","18","0","0","0"
"Patch/api/v1/subcategory/ - Редактирование подкатегории по id - Проверка поля title","","","0","10","0","0","0"
"GET/api/v1/personal_budget/ Получение списка всех транзакций - проверка поля linked_regular_outcome","","","0","7","0","0","0"
"Patch/api/v1/settings/my/ Настройки пользователя - Проверка поля analytics","","","0","7","0","0","0"
"Patch/users/me Проверка поля data_of_birth","","","0","9","0","0","0"
"Patch/api/v1/wallet/{wallet_id}/ Редактирование wallet - Проверка поля wallet_id","","","0","7","0","0","0"
"Get/api/v1/subcategory/ - Получение информации о подкатегорий по id","","","0","8","0","0","0"
"Post_change_password Проверка поля new_password","","","0","10","0","0","0"
"Get/api/v1/subcategory/ - Получение списка всех подкатегорий без параметров","","","0","2","0","0","0"
"Patch/api/v1/settings/my/ Настройки пользователя - общие проверки","","","0","2","0","0","0"
"Get/api/v1/analytics/payments_analytics - аналитика исполненных и пропущенных регулярных платежей - проверка поля month_to","","","0","10","0","0","0"
"Patch/api/v1/wallet/{wallet_id}/ Редактирование wallet - Проверка поля currency_id","","","0","10","0","0","0"
"Patch/api/v1/settings/my/ Настройки пользователя - Проверка поля has_onboarding","","","0","2","0","0","0"
"GET/api/v1/wallet/  Получение списка всех счетов","","","0","2","0","0","0"
"Get/api/v1/analytics/payments_analytics - аналитика исполненных и пропущенных регулярных платежей - проверка поля onetime_payment","","","0","1","0","0","0"
"","","","0","6","0","0","0"
"Get/api/v1/category/ Получение списка категорий - общие проверки","","","0","2","0","0","0"
"GET/api/v1/personal_budget/ Получение списка всех транзакций - общие проверки","","","0","2","0","0","0"
"GET /api/v1/moneybox/ Проверка поля is_archived","","","0","3","0","0","0"
"Delete/api/v1/subcategory/ - Удаление подкатегории - Проверка поля subcategory_id","","","0","7","0","0","0"
"Get/users/me Получение информации о текущем пользователе","","","0","2","0","0","0"
"Delete/api/v1/wallet/{wallet_id}/ Удаление wallet","","","0","11","0","0","0"
"Post_reset_password/code/check Проверка поля code","","","0","3","0","0","0"
"Patch/api/v1/settings/my/ Настройки пользователя - Проверка поля personal_accounting","","","0","2","0","0","0"
"Get/api/v1/settings/my/ Настройки авторизованного пользователя","","","0","2","0","0","0"
"Delete/api/v1/subcategory/ - Удаление подкатегории - общие проверки","","","0","2","0","0","0"
"Get/users/get_telegram_link - ссылка на телеграм-бота, напоминающего пользователю о предстоящих платежах","","","0","2","0","0","0"
"Post_change_password Общие проверки","","","0","2","1","0","0"
"Patch/users/me Изменение информации текущий пользователь","","","0","1","0","0","0"
